site,sample.point,location,quadrat.ID,type,spcode,dbh,cover.rate
WIM,1,under,1,tree sapling,QUGR3,,20%
WIM,3,under,1,tree sapling,QUGR3,,1%
WIM,6,under,1,tree sapling,QUGR3,,3%
STK,7,under,1,tree sapling,QUGR3,,10%
WIM,8,under,1,tree sapling,JUDE2,,30%
WIM,5,open,1,tree sapling,QUGR3,,2%
WIM,1,,1,tree sapling,JUDE2,,10%
WIM,5,,1,tree sapling,JUDE2,,5%
WIM,1,under,2,tree sapling,QUGR3,,5%
WIM,5,under,2,tree sapling,QUEM,,20%
STK,6,under,2,tree sapling,QUGR3,,10%
WIM,5,open,2,tree sapling,QUGR3,,10%
WIM,8,open,2,tree sapling,QUGR3,,15%
WIM,3,under,2,tree sapling,JUDE2,,20%
RHL,4,under,2,tree sapling,JUDE2,,1%
WIM,4,open,2,tree sapling,JUDE2,,20%
WIM,5,open,2,tree sapling,JUDE2,,20%
RHL,6,open,2,tree sapling,JUDE2,,25%
WIM,1,under,3,tree sapling,QUGR3,,15%
WIM,8,under,3,tree sapling,JUDE2,,1%
RHL,1,,,tree,PICE,27.9,
STK,1,,,tree,JUDE2,64,
STK,1,,,tree,JUDE2,57.4,
WIM,1,,,tree,JUDE2,51.9,
RHL,2,,,tree,QUGR3,22.8,
RHL,2,,,tree,QUGR3,20.6,
RHL,2,,,tree,QUGR3,24.4,
STK,2,,,tree,JUDE2,65.5,
WIM,2,,,tree,JUDE2,80.7,
RHL,3,,,tree,PICE,25.3,
RHL,3,,,tree,PICE,24.8,
RHL,3,,,tree,QUEM,32.6,
RHL,3,,,tree,QUGR3,36.9,
STK,3,,,tree,JUDE2,20.7,
STK,3,,,tree,JUDE2,15,
STK,3,,,tree,JUDE2,10.4,
STK,3,,,tree,JUDE2,2.5,
WIM,3,,,tree,QUGR3,39.3,
RHL,4,,,tree,QUGR3,34.6,
STK,4,,,tree,QUGR3,30,
STK,4,,,tree,QUGR3,44.5,
STK,4,,,tree,QUGR3,57,
WIM,4,,,tree,JUDE2,66.4,
RHL,5,,,tree,PICE,4.3,
RHL,5,,,tree,PICE,1,
RHL,5,,,tree,QUGR3,23.5,
RHL,5,,,tree,QUGR3,21.4,
STK,5,,,tree,JUDE2,35.5,
STK,5,,,tree,JUDE2,18.5,
STK,5,,,tree,JUDE2,25,
STK,5,,,tree,JUDE2,38.2,
WIM,5,,,tree,QUGR3,33,
RHL,6,,,tree,PICE,18.2,
RHL,6,,,tree,PICE,18.2,
RHL,6,,,tree,PICE,12.7,
STK,6,,,tree,JUDE2,25.5,
STK,6,,,tree,JUDE2,21.9,
STK,6,,,tree,JUDE2,11,
STK,6,,,tree,JUDE2,23.7,
STK,6,,,tree,JUDE2,22.9,
STK,6,,,tree,JUDE2,17,
WIM,6,,,tree,JUDE2,34.1,
WIM,6,,,tree,JUDE2,22,
WIM,6,,,tree,PICE,10.4,
RHL,7,,,tree,PICE,17.9,
RHL,7,,,tree,QUGR3,18.4,
RHL,7,,,tree,QUGR3,20.9,
STK,7,,,tree,JUDE2,56,
STK,7,,,tree,JUDE2,10.6,
STK,7,,,tree,JUDE2,16.1,
WIM,7,,,tree,JUDE2,23.8,
RHL,8,,,tree,JUDE2,30,
RHL,8,,,tree,JUDE2,16,
RHL,8,,,tree,JUDE2,26,
RHL,8,,,tree,JUDE2,15.5,
RHL,8,,,tree,JUDE2,22.4,
STK,8,,,tree,JUDE2,20.2,
STK,8,,,tree,JUDE2,16.8,
WIM,8,,,tree,QUGR3,27.4,
WIM,8,,,tree,QUGR3,24.2,
WIM,8,,,tree,QUGR3,30,
STK,9,,,tree,JUDE2,57,
STK,9,,,tree,JUDE2,44.1,
WIM,1,under,2,shrub,SB,,5%
WIM,6,open,3,juncus,JS,,40%
RHL,1,under,1,ground,BG,,10%
WIM,1,under,1,ground,BG,,35%
RHL,2,under,1,ground,BG,,30%
STK,2,under,1,ground,BG,,15%
RHL,3,under,1,ground,BG,,60%
STK,3,under,1,ground,BG,,25%
WIM,3,under,1,ground,BG,,25%
RHL,4,under,1,ground,BG,,35%
STK,4,under,1,ground,BG,,50%
WIM,4,under,1,ground,BG,,60%
RHL,5,under,1,ground,BG,,50%
STK,5,under,1,ground,BG,,42%
RHL,6,under,1,ground,BG,,15%
STK,6,under,1,ground,BG,,25%
WIM,6,under,1,ground,BG,,65%
RHL,7,under,1,ground,BG,,50%
WIM,7,under,1,ground,BG,,30%
RHL,8,under,1,ground,BG,,15%
STK,8,under,1,ground,BG,,20%
WIM,8,under,1,ground,BG,,15%
STK,9,under,1,ground,BG,,10%
RHL,1,open,1,ground,BG,,20%
WIM,1,open,1,ground,BG,,50%
RHL,2,open,1,ground,BG,,20%
STK,2,open,1,ground,BG,,10%
WIM,2,open,1,ground,BG,,10%
RHL,3,open,1,ground,BG,,10%
STK,3,open,1,ground,BG,,25%
WIM,3,open,1,ground,BG,,25%
STK,4,open,1,ground,BG,,48%
WIM,4,open,1,ground,BG,,15%
RHL,5,open,1,ground,BG,,25%
WIM,5,open,1,ground,BG,,15%
RHL,6,open,1,ground,BG,,30%
STK,6,open,1,ground,BG,,3%
RHL,7,open,1,ground,BG,,20%
STK,7,open,1,ground,BG,,5%
WIM,7,open,1,ground,BG,,20%
RHL,8,open,1,ground,BG,,15%
STK,8,open,1,ground,BG,,10%
WIM,8,open,1,ground,BG,,10%
RHL,1,under,2,ground,BG,,35%
WIM,1,under,2,ground,BG,,75%
RHL,2,under,2,ground,BG,,55%
RHL,3,under,2,ground,BG,,55%
WIM,3,under,2,ground,BG,,50%
RHL,4,under,2,ground,BG,,55%
STK,4,under,2,ground,BG,,10%
WIM,4,under,2,ground,BG,,5%
RHL,5,under,2,ground,BG,,50%
STK,5,under,2,ground,BG,,62%
WIM,5,under,2,ground,BG,,10%
RHL,6,under,2,ground,BG,,10%
STK,6,under,2,ground,BG,,5%
WIM,6,under,2,ground,BG,,25%
RHL,7,under,2,ground,BG,,30%
STK,7,under,2,ground,BG,,10%
WIM,7,under,2,ground,BG,,30%
WIM,8,under,2,ground,BG,,10%
STK,9,under,2,ground,BG,,50%
RHL,1,open,2,ground,BG,,25%
WIM,1,open,2,ground,BG,,65%
RHL,2,open,2,ground,BG,,20%
WIM,2,open,2,ground,BG,,10%
RHL,3,open,2,ground,BG,,20%
STK,3,open,2,ground,BG,,75%
WIM,3,open,2,ground,BG,,50%
RHL,4,open,2,ground,BG,,20%
WIM,4,open,2,ground,BG,,20%
RHL,5,open,2,ground,BG,,30%
STK,5,open,2,ground,BG,,5%
STK,5,open,2,ground,BOGR,,90%
WIM,5,open,2,ground,BG,,60%
RHL,6,open,2,ground,BG,,10%
STK,6,open,2,ground,BG,,20%
WIM,6,open,2,ground,BG,,35%
RHL,7,open,2,ground,BG,,40%
STK,7,open,2,ground,BG,,10%
RHL,8,open,2,ground,BG,,15%
STK,8,open,2,ground,BG,,25%
WIM,8,open,2,ground,BG,,25%
STK,9,open,2,ground,BG,,5%
RHL,1,under,3,ground,BG,,50%
STK,1,under,3,ground,BG,,50%
WIM,1,under,3,ground,BG,,75%
RHL,2,under,3,ground,BG,,60%
STK,2,under,3,ground,BG,,5%
RHL,3,under,3,ground,BG,,40%
STK,3,under,3,ground,BG,,30%
WIM,3,under,3,ground,BG,,70%
RHL,4,under,3,ground,BG,,45%
STK,4,under,3,ground,BG,,20%
RHL,5,under,3,ground,BG,,25%
STK,5,under,3,ground,BG,,45%
WIM,5,under,3,ground,BG,,30%
RHL,6,under,3,ground,BG,,10%
STK,6,under,3,ground,BG,,20%
WIM,6,under,3,ground,BG,,40%
RHL,7,under,3,ground,BG,,40%
WIM,7,under,3,ground,BG,,15%
RHL,8,under,3,ground,BG,,5%
STK,8,under,3,ground,BG,,25%
WIM,8,under,3,ground,BG,,35%
STK,9,under,3,ground,BG,,60%
RHL,1,open,3,ground,BG,,25%
WIM,1,open,3,ground,BG,,25%
RHL,2,open,3,ground,BG,,45%
WIM,2,open,3,ground,BG,,5%
RHL,3,open,3,ground,BG,,30%
STK,3,open,3,ground,BG,,30%
WIM,3,open,3,ground,BG,,20%
RHL,4,open,3,ground,BG,,30%
STK,4,open,3,ground,BG,,15%
WIM,4,open,3,ground,BG,,50%
RHL,5,open,3,ground,BG,,30%
WIM,5,open,3,ground,BG,,20%
RHL,6,open,3,ground,BG,,5%
STK,6,open,3,ground,BG,,70%
WIM,6,open,3,ground,BG,,15%
RHL,7,open,3,ground,BG,,45%
STK,7,open,3,ground,BG,,5%
WIM,7,open,3,ground,BG,,35%
RHL,8,open,3,ground,BG,,3%
STK,8,open,3,ground,BG,,25%
WIM,8,open,3,ground,BG,,20%
STK,9,open,3,ground,BG,,20%
RHL,1,under,1,grass,BOGR,,10%
RHL,1,under,1,grass,ERLE,,20%
RHL,1,under,1,grass,MURI,,10%
RHL,1,under,1,grass,PIFI,,75%
STK,1,under,1,grass,BRMO,,10%
STK,1,under,1,grass,NATE,,100%
WIM,1,under,1,grass,ANGE,,30%
WIM,1,under,1,grass,PIFI,,25%
RHL,2,under,1,grass,PIFI,,70%
STK,2,under,1,grass,ANGE,,70%
STK,2,under,1,grass,BOGR,,15%
STK,2,under,1,grass,DIOL,,50%
STK,2,under,1,grass,SEGR,,15%
WIM,2,under,1,grass,ANGE,,25%
WIM,2,under,1,grass,BRMO,,20%
WIM,2,under,1,grass,DIOL,,90%
WIM,2,under,1,grass,SEGR,,20%
RHL,3,under,1,grass,BOCU,,5%
RHL,3,under,1,grass,PIFI,,35%
STK,3,under,1,grass,NATE,,75%
WIM,3,under,1,grass,MURI,,10%
WIM,3,under,1,grass,PIFI,,60%
WIM,3,under,1,grass,SEGR,,10%
RHL,4,under,1,grass,ANGE,,5%
RHL,4,under,1,grass,BOGR,,15%
RHL,4,under,1,grass,LEDU,,5%
RHL,4,under,1,grass,PAHA,,40%
STK,4,under,1,grass,grass ukwn2,,1%
STK,4,under,1,grass,PIFI,,50%
WIM,4,under,1,grass,ANGE,,40%
WIM,4,under,1,grass,NATE,,5%
WIM,4,under,1,grass,PIFI,,2%
RHL,5,under,1,grass,PIFI,,45%
RHL,5,under,1,grass,SC ukwn,,25%
STK,5,under,1,grass,ANGE,,5%
STK,5,under,1,grass,BRMO,,2%
STK,5,under,1,grass,PIFI,,50%
WIM,5,under,1,grass,ANGE,,40%
WIM,5,under,1,grass,PIFI,,70%
RHL,6,under,1,grass,PAHA,,10%
RHL,6,under,1,grass,PIFI,,85%
STK,6,under,1,grass,ANGE,,60%
STK,6,under,1,grass,PIFI,,10%
STK,6,under,1,grass,SPAI,,5%
WIM,6,under,1,grass,PIFI,,55%
RHL,7,under,1,grass,PIFI,,50%
STK,7,under,1,grass,ANGE,,30%
STK,7,under,1,grass,BRMO,,5%
STK,7,under,1,grass,PIFI,,60%
WIM,7,under,1,grass,ARPA,,15%
WIM,7,under,1,grass,BOCU,,20%
WIM,7,under,1,grass,BOGR,,15%
WIM,7,under,1,grass,PIFI,,40%
WIM,7,under,1,grass,SCSC,,5%
RHL,8,under,1,grass,PIFI,,85%
RHL,8,under,1,grass,SCSC,,10%
STK,8,under,1,grass,DIOL,,5%
STK,8,under,1,grass,PIFI,,75%
WIM,8,under,1,grass,ANGE,,10%
WIM,8,under,1,grass,MURI,,3%
WIM,8,under,1,grass,NATE,,5%
WIM,8,under,1,grass,PIFI,,50%
STK,9,under,1,grass,ANGE,,30%
STK,9,under,1,grass,DIOL,,1%
STK,9,under,1,grass,PIFI,,60%
RHL,1,open,1,grass,ERLE,,80%
RHL,1,open,1,grass,MUWR,,10%
STK,1,open,1,grass,SPAI,,100%
WIM,1,open,1,grass,BOGR,,10%
WIM,1,open,1,grass,PAHA,,40%
RHL,2,open,1,grass,ANGE,,5%
RHL,2,open,1,grass,BOGR,,10%
RHL,2,open,1,grass,ERLE,,35%
RHL,2,open,1,grass,MURI,,20%
STK,2,open,1,grass,BOGR,,3%
STK,2,open,1,grass,BOHI,,2%
STK,2,open,1,grass,SP ukwn,,30%
WIM,2,open,1,grass,ANGE,,20%
WIM,2,open,1,grass,PAHA,,80%
RHL,3,open,1,grass,PAHA,,90%
RHL,3,open,1,grass,SEGR,,25%
STK,3,open,1,grass,ARPA,,10%
STK,3,open,1,grass,DIOL,,3%
STK,3,open,1,grass,SPAI,,30%
WIM,3,open,1,grass,ARPA,,3%
WIM,3,open,1,grass,BOGR,,30%
WIM,3,open,1,grass,MUWR,,15%
WIM,3,open,1,grass,SCSC,,30%
RHL,4,open,1,grass,BOGR,,45%
RHL,4,open,1,grass,MURI,,40%
RHL,4,open,1,grass,SCSC,,30%
STK,4,open,1,grass,ARPU,,15%
STK,4,open,1,grass,BOGR,,25%
STK,4,open,1,grass,MUWR,,12%
WIM,4,open,1,grass,ANGE,,1%
WIM,4,open,1,grass,BOGR,,55%
WIM,4,open,1,grass,DIOL,,30%
RHL,5,open,1,grass,ARPA,,15%
RHL,5,open,1,grass,BOGR,,20%
RHL,5,open,1,grass,ERLE,,30%
RHL,5,open,1,grass,MURI,,15%
RHL,5,open,1,grass,SCSC,,25%
STK,5,open,1,grass,ANGE,,30%
STK,5,open,1,grass,ARPU,,10%
STK,5,open,1,grass,MUWR,,75%
WIM,5,open,1,grass,MURI,,35%
WIM,5,open,1,grass,PIFI,,45%
RHL,6,open,1,grass,BOGR,,35%
RHL,6,open,1,grass,MURI,,30%
RHL,6,open,1,grass,PAHA,,5%
STK,6,open,1,grass,BOGR,,70%
STK,6,open,1,grass,MUWR,,40%
WIM,6,open,1,grass,BOCU,,10%
WIM,6,open,1,grass,BOGR,,25%
WIM,6,open,1,grass,SC ukwn,,70%
RHL,7,open,1,grass,BOGR,,80%
STK,7,open,1,grass,ARPU,,20%
STK,7,open,1,grass,BOGR,,80%
STK,7,open,1,grass,MUWR,,20%
WIM,7,open,1,grass,ANGE,,10%
WIM,7,open,1,grass,BOGR,,50%
WIM,7,open,1,grass,MUWR,,20%
RHL,8,open,1,grass,ARPU,,5%
RHL,8,open,1,grass,BOGR,,10%
RHL,8,open,1,grass,BOHI,,65%
RHL,8,open,1,grass,ERLE,,25%
STK,8,open,1,grass,ANGE,,15%
STK,8,open,1,grass,ARPU,,30%
STK,8,open,1,grass,BOGR,,40%
STK,8,open,1,grass,MUWR,,30%
STK,8,open,1,grass,SP ukwn,,1%
WIM,8,open,1,grass,ARPA,,5%
WIM,8,open,1,grass,MURI,,30%
WIM,8,open,1,grass,MUWR,,25%
WIM,8,open,1,grass,SCSC,,30%
STK,9,open,1,grass,MURI,,10%
STK,9,open,1,grass,MUWR,,50%
RHL,1,under,2,grass,PIFI,,65%
STK,1,under,2,grass,NATE,,85%
STK,1,under,2,grass,SEGR,,5%
WIM,1,under,2,grass,ANGE,,2%
WIM,1,under,2,grass,PIFI,,30%
RHL,2,under,2,grass,PIFI,,45%
STK,2,under,2,grass,ANGE,,50%
STK,2,under,2,grass,BOGR,,5%
STK,2,under,2,grass,NATE,,5%
STK,2,under,2,grass,SP ukwn,,15%
WIM,2,under,2,grass,ANGE,,30%
WIM,2,under,2,grass,BRMO,,40%
WIM,2,under,2,grass,PIFI,,20%
RHL,3,under,2,grass,PIFI,,45%
STK,3,under,2,grass,BOGR,,3%
STK,3,under,2,grass,grass ukwn,,1%
STK,3,under,2,grass,PIFI,,20%
STK,3,under,2,grass,SCSC,,20%
WIM,3,under,2,grass,BRMO,,15%
WIM,3,under,2,grass,PIFI,,25%
RHL,4,under,2,grass,ANGE,,15%
RHL,4,under,2,grass,BOGR,,5%
RHL,4,under,2,grass,PAHA,,5%
RHL,4,under,2,grass,PIFI,,25%
STK,4,under,2,grass,PIFI,,90%
WIM,4,under,2,grass,ANGE,,25%
WIM,4,under,2,grass,NATE,,75%
RHL,5,under,2,grass,MU ukwn,,10%
RHL,5,under,2,grass,PIFI,,40%
STK,5,under,2,grass,ANGE,,30%
STK,5,under,2,grass,NATE,,4%
STK,5,under,2,grass,SCSC,,5%
WIM,5,under,2,grass,PIFI,,80%
RHL,6,under,2,grass,PIFI,,90%
RHL,6,under,2,grass,SCSC,,10%
STK,6,under,2,grass,MURI,,25%
STK,6,under,2,grass,PIFI,,70%
STK,6,under,2,grass,SPAI,,10%
WIM,6,under,2,grass,PIFI,,75%
RHL,7,under,2,grass,PIFI,,70%
STK,7,under,2,grass,BRMO,,15%
STK,7,under,2,grass,PIFI,,95%
WIM,7,under,2,grass,ANGE,,30%
WIM,7,under,2,grass,BOCU,,20%
WIM,7,under,2,grass,PIFI,,35%
RHL,8,under,2,grass,ANGE,,20%
RHL,8,under,2,grass,BG,,10%
RHL,8,under,2,grass,PIFI,,80%
STK,8,under,2,grass,NATE,,10%
STK,8,under,2,grass,PIFI,,90%
WIM,8,under,2,grass,MURI,,35%
WIM,8,under,2,grass,NATE,,50%
STK,9,under,2,grass,PIFI,,50%
RHL,1,open,2,grass,ANGE,,30%
RHL,1,open,2,grass,BOGR,,15%
RHL,1,open,2,grass,ERLE,,40%
STK,1,open,2,grass,ANGE,,75%
STK,1,open,2,grass,SPAI,,25%
WIM,1,open,2,grass,ERLE,,25%
WIM,1,open,2,grass,MUWR,,15%
WIM,1,open,2,grass,PAHA,,5%
RHL,2,open,2,grass,ARPU,,30%
RHL,2,open,2,grass,BOGR,,25%
RHL,2,open,2,grass,MURI,,10%
RHL,2,open,2,grass,MUWR,,10%
RHL,2,open,2,grass,SCSC,,15%
STK,2,open,2,grass,ANGE,,10%
STK,2,open,2,grass,BOGR,,40%
STK,2,open,2,grass,BUDA,,5%
STK,2,open,2,grass,MU ukwn,,2%
STK,2,open,2,grass,NATE,,15%
WIM,2,open,2,grass,BOGR,,40%
WIM,2,open,2,grass,SCSC,,50%
RHL,3,open,2,grass,MURI,,20%
RHL,3,open,2,grass,SCSC,,60%
STK,3,open,2,grass,ARPU,,1%
STK,3,open,2,grass,MU ukwn,,2%
STK,3,open,2,grass,MURI,,2%
STK,3,open,2,grass,MUWR,,30%
STK,3,open,2,grass,SPAI,,2%
WIM,3,open,2,grass,BOCU,,15%
WIM,3,open,2,grass,BOGR,,25%
WIM,3,open,2,grass,ERLE,,5%
WIM,3,open,2,grass,SCSC,,5%
RHL,4,open,2,grass,ARPU,,20%
RHL,4,open,2,grass,BOGR,,35%
RHL,4,open,2,grass,MURI,,5%
RHL,4,open,2,grass,SCSC,,30%
STK,4,open,2,grass,ANGE,,5%
STK,4,open,2,grass,ARPU,,1%
STK,4,open,2,grass,BOGR,,50%
STK,4,open,2,grass,MUWR,,85%
WIM,4,open,2,grass,MURI,,25%
WIM,4,open,2,grass,SC ukwn,,50%
RHL,5,open,2,grass,ARPA,,20%
RHL,5,open,2,grass,BOGR,,20%
RHL,5,open,2,grass,ERLE,,25%
RHL,5,open,2,grass,SCSC,,25%
STK,5,open,2,grass,MUWR,,10%
WIM,5,open,2,grass,BOCU,,20%
WIM,5,open,2,grass,ERLE,,5%
WIM,5,open,2,grass,NATE,,2%
RHL,6,open,2,grass,ANGE,,30%
RHL,6,open,2,grass,BOGR,,10%
RHL,6,open,2,grass,ERLE,,20%
RHL,6,open,2,grass,MURI,,30%
STK,6,open,2,grass,ANGE,,5%
STK,6,open,2,grass,BOGR,,50%
STK,6,open,2,grass,MUWR,,45%
WIM,6,open,2,grass,BOCU,,40%
WIM,6,open,2,grass,BOGR,,35%
RHL,7,open,2,grass,ANGE,,25%
RHL,7,open,2,grass,ARPU,,10%
RHL,7,open,2,grass,BOHI,,20%
RHL,7,open,2,grass,MUWR,,5%
STK,7,open,2,grass,ARPU,,10%
STK,7,open,2,grass,MURI,,80%
WIM,7,open,2,grass,ARPA,,5%
WIM,7,open,2,grass,BOGR,,25%
WIM,7,open,2,grass,MURI,,50%
WIM,7,open,2,grass,SCSC,,30%
RHL,8,open,2,grass,ARPU,,7%
RHL,8,open,2,grass,BOGR,,15%
RHL,8,open,2,grass,BOHI,,75%
STK,8,open,2,grass,ARPU,,15%
STK,8,open,2,grass,BOGR,,25%
STK,8,open,2,grass,MUWR,,60%
WIM,8,open,2,grass,BOCU,,10%
WIM,8,open,2,grass,BOGR,,40%
WIM,8,open,2,grass,MUWR,,10%
WIM,8,open,2,grass,SCSC,,10%
STK,9,open,2,grass,ARPU,,3%
STK,9,open,2,grass,BOGR,,10%
STK,9,open,2,grass,BOHI,,40%
STK,9,open,2,grass,MU ukwn,,40%
STK,9,open,2,grass,SCSC,,5%
STK,9,open,2,grass,SPCR,,3%
RHL,1,under,3,grass,MURI,,25%
RHL,1,under,3,grass,PIFI,,15%
RHL,1,under,3,grass,SCSC,,35%
STK,1,under,3,grass,BRMO,,20%
STK,1,under,3,grass,NATE,,5%
STK,1,under,3,grass,SCSC,,1%
STK,1,under,3,grass,SCSC,,15%
WIM,1,under,3,grass,ANGE,,5%
WIM,1,under,3,grass,grass ukwn3,,5%
WIM,1,under,3,grass,PIFI,,15%
RHL,2,under,3,grass,PIFI,,40%
STK,2,under,3,grass,ANGE,,10%
STK,2,under,3,grass,SEGR,,85%
STK,2,under,3,grass,SP ukwn,,2%
WIM,2,under,3,grass,BRMO,,10%
WIM,2,under,3,grass,DIOL,,55%
WIM,2,under,3,grass,PIFI,,35%
RHL,3,under,3,grass,PIFI,,60%
STK,3,under,3,grass,BOHI,,5%
STK,3,under,3,grass,PIFI,,25%
STK,3,under,3,grass,SCSC,,5%
WIM,3,under,3,grass,PIFI,,25%
WIM,3,under,3,grass,SEGR,,10%
RHL,4,under,3,grass,ANGE,,15%
RHL,4,under,3,grass,BOGR,,15%
RHL,4,under,3,grass,MURI,,25%
RHL,4,under,3,grass,PAHA,,30%
STK,4,under,3,grass,NATE,,5%
STK,4,under,3,grass,PIFI,,75%
WIM,4,under,3,grass,ANGE,,35%
WIM,4,under,3,grass,NATE,,30%
WIM,4,under,3,grass,PIFI,,45%
RHL,5,under,3,grass,BOGR,,5%
RHL,5,under,3,grass,PIFI,,35%
RHL,5,under,3,grass,SC ukwn,,25%
STK,5,under,3,grass,ANGE,,5%
STK,5,under,3,grass,BRMO,,30%
STK,5,under,3,grass,DIOL,,10%
STK,5,under,3,grass,PIFI,,10%
WIM,5,under,3,grass,ANGE,,10%
WIM,5,under,3,grass,PIFI,,60%
RHL,6,under,3,grass,PIFI,,20%
RHL,6,under,3,grass,SCSC,,35%
STK,6,under,3,grass,PIFI,,60%
STK,6,under,3,grass,SCSC,,30%
WIM,6,under,3,grass,PIFI,,60%
RHL,7,under,3,grass,MURI,,35%
RHL,7,under,3,grass,PIFI,,25%
STK,7,under,3,grass,DIOL,,30%
STK,7,under,3,grass,PIFI,,90%
WIM,7,under,3,grass,BOCU,,25%
WIM,7,under,3,grass,BOGR,,35%
WIM,7,under,3,grass,PIFI,,10%
WIM,7,under,3,grass,SCSC,,15%
RHL,8,under,3,grass,ANGE,,25%
RHL,8,under,3,grass,PIFI,,75%
RHL,8,under,3,grass,SCSC,,20%
STK,8,under,3,grass,PIFI,,75%
WIM,8,under,3,grass,NATE,,55%
WIM,8,under,3,grass,PIFI,,10%
STK,9,under,3,grass,LEDU,,10%
STK,9,under,3,grass,PIFI,,40%
STK,9,under,3,grass,SCSC,,10%
RHL,1,open,3,grass,ANGE,,25%
RHL,1,open,3,grass,BOGR,,35%
RHL,1,open,3,grass,ERLE,,20%
STK,1,open,3,grass,SPAI,,100%
WIM,1,open,3,grass,BOGR,,11%
WIM,1,open,3,grass,grass ukwn4,,10%
WIM,1,open,3,grass,PAHA,,70%
RHL,2,open,3,grass,ARPU,,5%
RHL,2,open,3,grass,BOGR,,35%
RHL,2,open,3,grass,ERLE,,20%
STK,2,open,3,grass,DIOL,,2%
STK,2,open,3,grass,SCSC,,5%
STK,2,open,3,grass,SP ukwn,,50%
WIM,2,open,3,grass,BOGR,,10%
WIM,2,open,3,grass,PAHA,,15%
WIM,2,open,3,grass,SCSC,,80%
RHL,3,open,3,grass,BOGR,,30%
RHL,3,open,3,grass,MURI,,45%
STK,3,open,3,grass,ARPU,,10%
STK,3,open,3,grass,MUWR,,10%
STK,3,open,3,grass,SCSC,,2%
STK,3,open,3,grass,SPAI,,5%
WIM,3,open,3,grass,ARPA,,5%
WIM,3,open,3,grass,BOCU,,15%
WIM,3,open,3,grass,BOGR,,40%
WIM,3,open,3,grass,ERLE,,15%
WIM,3,open,3,grass,MURI,,10%
RHL,4,open,3,grass,BOGR,,20%
RHL,4,open,3,grass,ERLE,,25%
RHL,4,open,3,grass,MURI,,30%
RHL,4,open,3,grass,MUWR,,10%
STK,4,open,3,grass,ARPU,,20%
STK,4,open,3,grass,BOGR,,25%
STK,4,open,3,grass,MUWR,,20%
STK,4,open,3,grass,SPAI,,20%
WIM,4,open,3,grass,ARPU,,5%
WIM,4,open,3,grass,BOGR,,50%
RHL,5,open,3,grass,BOGR,,35%
RHL,5,open,3,grass,ERLE,,20%
RHL,5,open,3,grass,MURI,,35%
STK,5,open,3,grass,ANGE,,30%
STK,5,open,3,grass,ARPU,,20%
STK,5,open,3,grass,MUWR,,70%
WIM,5,open,3,grass,ANGE,,10%
WIM,5,open,3,grass,BOGR,,25%
WIM,5,open,3,grass,MUWR,,15%
WIM,5,open,3,grass,SC ukwn,,30%
RHL,6,open,3,grass,BOHI,,95%
RHL,6,open,3,grass,ERLE,,5%
STK,6,open,3,grass,BOGR,,10%
STK,6,open,3,grass,MURI,,35%
WIM,6,open,3,grass,ARPA,,5%
WIM,6,open,3,grass,BOCU,,25%
WIM,6,open,3,grass,BOGR,,20%
RHL,7,open,3,grass,BOGR,,30%
RHL,7,open,3,grass,ERLE,,20%
RHL,7,open,3,grass,MURI,,20%
STK,7,open,3,grass,ARPU,,25%
STK,7,open,3,grass,BOGR,,50%
STK,7,open,3,grass,MUWR,,25%
STK,7,open,3,grass,SPAI,,15%
WIM,7,open,3,grass,BOCU,,10%
WIM,7,open,3,grass,MURI,,60%
RHL,8,open,3,grass,ANGE,,15%
RHL,8,open,3,grass,BOGR,,10%
RHL,8,open,3,grass,ERLE,,10%
RHL,8,open,3,grass,MUWR,,85%
STK,8,open,3,grass,ARPU,,20%
STK,8,open,3,grass,BOGR,,15%
STK,8,open,3,grass,MUWR,,35%
STK,8,open,3,grass,SPAI,,20%
WIM,8,open,3,grass,ARPA,,10%
WIM,8,open,3,grass,ARPU,,15%
WIM,8,open,3,grass,MURI,,35%
WIM,8,open,3,grass,SCSC,,20%
STK,9,open,3,grass,ANGE,,40%
STK,9,open,3,grass,BOGR,,45%
STK,9,open,3,grass,SPPY,,2%
STK,6,,3,grass,ANGE,,2%
RHL,2,open,1,forb,FB,,35%
STK,2,open,1,forb,FB,,1%
RHL,4,under,2,forb,FB,,5%
WIM,8,under,2,forb,FB,,25%
STK,2,open,2,forb,FB,,1%
STK,1,under,3,forb,FB,,5%
STK,3,under,3,forb,FB,,5%
RHL,5,under,3,forb,FB,,20%
STK,1,open,3,forb,FB,,2%
STK,2,open,3,forb,FB,,10%
WIM,3,open,3,forb,FB,,10%
STK,4,open,3,forb,FB,,1%
WIM,4,open,3,forb,FB,,3%
RHL,6,open,3,forb,FB,,1%