spcode,light,block,trial.date,soil_mois
agsc5,s,b4,3/29/19,20.6
pava2,s,b4,3/29/19,26.4
elvi3,fs,b4,3/29/19,20.8
arpu9,fs,b4,3/29/19,20.5
navi4,fs,b4,3/29/19,23.7
sesc2,fs,b4,3/29/19,30.2
sesc2,s,b4,3/29/19,28.9
agsc5,fs,b4,3/29/19,8.5
navi4,s,b4,3/29/19,27.1
arpu9,s,b4,3/29/19,24.4
pava2,fs,b4,3/29/19,28
elvi3,s,b4,3/29/19,29.3
bogr2,fs,b4,3/29/19,26.1
bogr2,s,b4,3/29/19,25.3
ercu2,s,b4,3/29/19,21.5
ercu2,fs,b4,3/29/19,18.5
bosa,s,b4,4/19/19,24
ante2,fs,b4,4/19/19,14.7
paha,fs,b4,4/19/19,17.1
dica8,s,b4,4/19/19,15.3
ante2,s,b4,4/19/19,13.8
feru2,fs,b4,4/19/19,8.8
pimi,fs,b4,4/19/19,10.1
dica8,fs,b4,4/19/19,8.2
pimi,s,b4,4/19/19,23.2
feru2,s,b4,4/19/19,5.2
nete,fs,b4,4/19/19,12.4
paha,s,b4,4/19/19,24.3
bosa,fs,b4,4/19/19,5.5
chla5,s,b4,4/19/19,22.5
poco,fs,b4,4/19/19,5.6
poco,s,b4,4/19/19,3.1
nete,s,b4,4/19/19,3.1
chla5,fs,b4,4/19/19,7.2
arpu9,fs,b3,4/25/19,10.2
pimi,s,b3,4/25/19,15.7
ante2,fs,b3,4/25/19,14.2
poco,fs,b3,4/25/19,6.4
feru2,s,b3,4/25/19,7.3
ante2,s,b3,4/25/19,29.8
dica8,fs,b3,4/25/19,10.6
arpu9,s,b3,4/25/19,13.9
bogr2,s,b3,4/25/19,15.7
poco,s,b3,4/25/19,2.6
navi4,fs,b3,4/25/19,6.8
feru2,fs,b3,4/25/19,27
navi4,s,b3,4/25/19,15.3
dica8,s,b3,4/25/19,15.3
pimi,fs,b3,4/25/19,2.9
nete,fs,b3,4/26/19,15.6
sesc2,fs,b3,4/26/19,10.5
bosa,fs,b3,4/26/19,12.9
chla5,s,b3,4/26/19,8.1
sesc2,s,b3,4/26/19,22.1
paha,s,b3,4/26/19,17.9
ercu2,fs,b3,4/26/19,5.6
bosa,s,b3,4/26/19,15.6
paha,fs,b3,4/26/19,13.9
ercu2,s,b3,4/26/19,3.9
elvi3,s,b3,4/26/19,17.6
pava2,fs,b3,4/26/19,12.1
chla5,fs,b3,4/26/19,4.3
elvi3,fs,b3,4/26/19,4.3
nete,s,b3,4/26/19,16.8
agsc5,fs,b3,4/26/19,3.1
agsc5,s,b3,4/26/19,9.2
pava2,s,b3,4/26/19,16.6
dica8,fs,b2,4/30/19,15.7
arpu9,s,b2,4/30/19,14
navi4,fs,b2,4/30/19,10.8
arpu9,fs,b2,4/30/19,14.9
chla5,s,b2,4/30/19,12.4
bosa,fs,b2,4/30/19,13.6
paha,s,b2,4/30/19,16.9
sesc2,s,b2,4/30/19,9.9
sesc2,fs,b2,4/30/19,8.7
chla5,fs,b2,4/30/19,4.1
paha,fs,b2,4/30/19,7.6
pava2,fs,b2,4/30/19,18.9
agsc5,fs,b2,4/30/19,4.6
poco,s,b2,4/30/19,2.3
poco,fs,b2,4/30/19,12.5
agsc5,s,b2,4/30/19,5.2
pava2,s,b2,4/30/19,8.4
navi4,s,b2,4/30/19,2.4
dica8,s,b2,4/30/19,7.5
bosa,s,b2,4/30/19,16.9
ante2,s,b2,5/1/19,16.4
bogr2,s,b2,5/1/19,11.2
pimi,fs,b2,5/1/19,7
feru2,fs,b2,5/1/19,15.7
feru2,s,b2,5/1/19,5.7
pimi,s,b2,5/1/19,5.8
elvi3,s,b2,5/1/19,11.7
nete,fs,b2,5/1/19,5.5
ercu2,fs,b2,5/1/19,3.7
bogr2,fs,b2,5/1/19,3.7
elvi3,fs,b2,5/1/19,11
ante2,fs,b2,5/1/19,14.7
ercu2,s,b2,5/1/19,0.5
nete,s,b2,5/1/19,9.2
poco,fs,b5,5/6/19,3.7
sesc2,s,b5,5/6/19,9.1
elvi3,fs,b5,5/6/19,13.5
sesc2,fs,b5,5/6/19,3.6
chla5,fs,b5,5/6/19,5
navi4,fs,b5,5/6/19,11.6
chla5,s,b5,5/6/19,15.7
nete,s,b5,5/6/19,18.6
bogr2,s,b5,5/6/19,14.5
pimi,fs,b5,5/6/19,6
dica8,s,b5,5/6/19,10.7
bogr2,fs,b5,5/6/19,4.2
pava2,fs,b5,5/6/19,9.2
agsc5,fs,b5,5/6/19,5.4
feru2,fs,b5,5/6/19,4.2
nete,fs,b5,5/6/19,13.2
ercu2,s,b5,5/6/19,13.2
ante2,s,b5,5/6/19,14.4
bosa,s,b5,5/6/19,20.5
pava2,s,b5,5/6/19,15.9
elvi3,s,b5,5/6/19,6.9
ercu2,fs,b5,5/6/19,7.7
feru2,s,b5,5/6/19,4.5
arpu9,fs,b5,5/6/19,6.6
navi4,s,b5,5/6/19,10.2
bosa,fs,b5,5/6/19,5
paha,fs,b5,5/6/19,10.6
pimi,s,b5,5/6/19,10
poco,s,b5,5/6/19,3
agsc5,s,b5,5/6/19,5.3
paha,s,b5,5/6/19,19.8
arpu9,s,b5,5/6/19,14.1
dica8,fs,b5,5/6/19,8.7
ante2,fs,b5,5/6/19,8.3
poco,s,b1,5/8/19,3.7
ante2,fs,b1,5/8/19,4.9
ercu2,fs,b1,5/8/19,4
ercu2,s,b1,5/8/19,4.8
elvi3,s,b1,5/8/19,5.3
feru2,s,b1,5/8/19,1.9
agsc5,fs,b1,5/8/19,7.9
arpu9,s,b1,5/8/19,12.4
arpu9,fs,b1,5/8/19,10.3
pimi,fs,b1,5/8/19,2
poco,fs,b1,5/8/19,4.8
navi4,s,b1,5/8/19,5.2
pava2,fs,b1,5/8/19,10.1
bogr2,fs,b1,5/8/19,8
ante2,s,b1,5/8/19,17
chla5,s,b1,5/8/19,12.2
pimi,s,b1,5/8/19,10.8
nete,fs,b1,5/8/19,10.5
navi4,fs,b1,5/8/19,5.6
pava2,s,b1,5/8/19,13.9
nete,s,b1,5/8/19,14.9
chla5,fs,b1,5/8/19,9.7
elvi3,fs,b1,5/8/19,6.8
bogr2,s,b1,5/8/19,10.7
bosa,fs,b1,5/8/19,5.4
agsc5,s,b1,5/8/19,10.4
sesc2,s,b1,5/8/19,11
dica8,s,b1,5/8/19,8.4
dica8,fs,b1,5/8/19,7.7
paha,s,b1,5/8/19,15.9
sesc2,fs,b1,5/8/19,7.7
paha,fs,b1,5/8/19,10.8
bosa,s,b1,5/8/19,16.3
feru2,fs,b1,5/8/19,3.8